Pubmed	Chromosome	Start_position	End_position	Enhancer_related_genes	Description	Species	Tissue_class	Experiment_class	Title	SNP_related	SNP_id	Disease	Cell_class	Enhancer_id	Enhancer_experiment	Enhancer_tar_ex_De	Enhancer_type	target_gene_strong_experiment	target_gene_weak_experiment	target_gene_experiment_description	target_gene_other_name	Enhancer_function	Enhancer_function_experiment	En_function_ex_de	TF_name	TF_other_name	Experiment	TF_experiment_de	SNP_position	SNP_experiment	Target_gene
29364907	chr2	28389994	28391994	FOSL2	FOSL2 levels were only minimally reduced, indicating that 20861 cell proliferation is completely dependent on expression of the E6 and E7 oncogenes.	human	Cervix	High+Lowthroughput	HPV integration hijacks and multimerizes a cellular enhancer to generate a viral-cellular super-enhancer that drives high viral oncogene expression	否		HPV positive tumors	cervical-derived cell line 20861	E_01_0001	Southern blot,ChIP-seq,Immunofluorescence,ChIP-qPCR,RNA-seq,FISH	FOSL2 levels were only minimally reduced, indicating that 20861 cell proliferation is completely dependent on expression of the E6 and E7 oncogenes.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			FOSL2 levels were only minimally reduced, indicating that 20861 cell proliferation is completely dependent on expression of the E6 and E7 oncogenes.	Immunohistochemical staining	FOSL2 levels were only minimally reduced, indicating that 20861 cell proliferation is completely dependent on expression of the E6 and E7 oncogenes.	FOSL2		Southern blot,ChIP-seq,Immunofluorescence,ChIP-qPCR,RNA-seq,FISH	FOSL2 levels were only minimally reduced, indicating that 20861 cell proliferation is completely dependent on expression of the E6 and E7 oncogenes.			
29364907	chr17	32412637	32414637	Brd4	ChIP-seq analysis showed two strong peaks of enrichment of the super-enhancer markers Brd4 and H3K27ac at both the viral URR and adjacent cellular sequence at the integration locus, the latter of which was not observed in the same region of cellular DNA in the W12 20863 sub-clone that harbors extrachromosomal viral DNA	mouse	Cervix	High+Lowthroughput	HPV integration hijacks and multimerizes a cellular enhancer to generate a viral-cellular super-enhancer that drives high viral oncogene expression	否		HPV positive tumors	cervical-derived cell line 20861	E_01_0001	Southern blot,ChIP-seq,Immunofluorescence,ChIP-qPCR,RNA-seq,FISH	ChIP-seq analysis showed two strong peaks of enrichment of the super-enhancer markers Brd4 and H3K27ac at both the viral URR and adjacent cellular sequence at the integration locus, the latter of which was not observed in the same region of cellular DNA in the W12 20863 sub-clone that harbors extrachromosomal viral DNA	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	ChIP-seq analysis showed two strong peaks of enrichment of the super-enhancer markers Brd4 and H3K27ac at both the viral URR and adjacent cellular sequence at the integration locus, the latter of which was not observed in the same region of cellular DNA in the W12 20863 sub-clone that harbors extrachromosomal viral DNA		ChIP-seq analysis showed two strong peaks of enrichment of the super-enhancer markers Brd4 and H3K27ac at both the viral URR and adjacent cellular sequence at the integration locus, the latter of which was not observed in the same region of cellular DNA in the W12 20863 sub-clone that harbors extrachromosomal viral DNA	Immunohistochemical staining	ChIP-seq analysis showed two strong peaks of enrichment of the super-enhancer markers Brd4 and H3K27ac at both the viral URR and adjacent cellular sequence at the integration locus, the latter of which was not observed in the same region of cellular DNA in the W12 20863 sub-clone that harbors extrachromosomal viral DNA			Southern blot,ChIP-seq,Immunofluorescence,ChIP-qPCR,RNA-seq,FISH				Brd4
29363938	chr2	207527779	207529779	CREB1	The addition of AuNP-p(T)DNA to HeLa lysate containing GFP, GCN5, CREB1, and XBP-1S mRNA increased protein synthesis by 1.80, 1.99, 1.95 and 2.20-fold respectively.	human	Cervix	High+Lowthroughput	Universal mRNA Translation Enhancement with Gold Nanoparticles Conjugated to Oligonucleotides with a Poly(T) Sequence	否		cervical cancer	HeLa cell	E_01_0002	Western blot,RT-PCR,PCR	The addition of AuNP-p(T)DNA to HeLa lysate containing GFP, GCN5, CREB1, and XBP-1S mRNA increased protein synthesis by 1.80, 1.99, 1.95 and 2.20-fold respectively.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			The addition of AuNP-p(T)DNA to HeLa lysate containing GFP, GCN5, CREB1, and XBP-1S mRNA increased protein synthesis by 1.80, 1.99, 1.95 and 2.20-fold respectively.	Immunohistochemical staining	The addition of AuNP-p(T)DNA to HeLa lysate containing GFP, GCN5, CREB1, and XBP-1S mRNA increased protein synthesis by 1.80, 1.99, 1.95 and 2.20-fold respectively.	CREB1		Western blot,RT-PCR,PCR	The addition of AuNP-p(T)DNA to HeLa lysate containing GFP, GCN5, CREB1, and XBP-1S mRNA increased protein synthesis by 1.80, 1.99, 1.95 and 2.20-fold respectively.			
29363553	chr6	47503992	47505992	Ezh2	Ezh2 is a key member of the PcG family. It can promote the survival of HSCs.	mouse	Bone marrow	High+Lowthroughput	Hematopoietic stem/progenitor cell senescence is associated with altered expression profiles of cellular memory-involved gene	否	Enhancer_experiment	senescence associated disease	progenitor cell	E_02_0001	qRT-PCR	Ezh2 is a key member of the PcG family. It can promote the survival of HSCs.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Ezh2 is a key member of the PcG family. It can promote the survival of HSCs.		Ezh2 is a key member of the PcG family. It can promote the survival of HSCs.	Immunohistochemical staining	Ezh2 is a key member of the PcG family. It can promote the survival of HSCs.			qRT-PCR				Ezh2
29358714	chr15	58585627	58587627	ADAM10	ADAM10 is a metalloproteinase acting on the amyloid precursor protein (APP) as an alpha-secretase in neurons.	human,mouse	Nerve	High+Lowthroughput	Identification of disulfiram as a secretase-modulating compound with beneficial effects on Alzheimer's disease hallmarks	否		Alzheimer’s disease	SH-SY5Y human neuronal cell	E_02_0002	Western blot,RT-PCR	ADAM10 is a metalloproteinase acting on the amyloid precursor protein (APP) as an alpha-secretase in neurons.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	ADAM10 is a metalloproteinase acting on the amyloid precursor protein (APP) as an alpha-secretase in neurons.		ADAM10 is a metalloproteinase acting on the amyloid precursor protein (APP) as an alpha-secretase in neurons.	Immunohistochemical staining	ADAM10 is a metalloproteinase acting on the amyloid precursor protein (APP) as an alpha-secretase in neurons.			Western blot,RT-PCR				ADAM10
29358650	chr4	139461205	139463205	Pax7	Pax7 binds its targeted enhancers rapidly, but chromatin remodeling and gene activation are slower.	mouse	Hypophysoma	High+Lowthroughput	Pioneer factor Pax7 deploys a stable enhancer repertoire for specification of cell fate	否		Hypophysoma	AtT-20 cell	E_02_0003	ChIP–seq,ATAC–seq,RNA-seq	Pax7 binds its targeted enhancers rapidly, but chromatin remodeling and gene activation are slower.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Pax7 binds its targeted enhancers rapidly, but chromatin remodeling and gene activation are slower.		Pax7 binds its targeted enhancers rapidly, but chromatin remodeling and gene activation are slower.	Immunohistochemical staining	Pax7 binds its targeted enhancers rapidly, but chromatin remodeling and gene activation are slower.			ChIP–seq,ATAC–seq,RNA-seq				Pax7
29357419	chr7	148804764	148806764	EZH2	Polycomb group proteins,EZH2, and menin binds at PAX2 gene and has been demonstrated to decrease transcription of PAX2	human	Kidney	High+Lowthroughput	Modulation of apolipoprotein L1-microRNA-193a axis prevents podocyte dedifferentiation in high-glucose milieu	否		kidney disease	epithelial cell	E_01_0003	Western blot,Immunofluorescence,Transfection	Polycomb group proteins,EZH2, and menin binds at PAX2 gene and has been demonstrated to decrease transcription of PAX2	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			Polycomb group proteins,EZH2, and menin binds at PAX2 gene and has been demonstrated to decrease transcription of PAX2	Immunohistochemical staining	Polycomb group proteins,EZH2, and menin binds at PAX2 gene and has been demonstrated to decrease transcription of PAX2	EZH2		Western blot,Immunofluorescence,Transfection	Polycomb group proteins,EZH2, and menin binds at PAX2 gene and has been demonstrated to decrease transcription of PAX2			
29344674	chr7	148805135	148807135	EZH2	In addition, H19 was found to regulate the expression of oncogene enhancer of zeste homolog 2 (EZH2) by competing with miR‑138; the inhibition of miR-138 attenuated the inhibitory effects of H19 knockdown on OSCC cells.	human	Oral cavity	High+Lowthroughput	Long non-coding RNA H1 promotes cell proliferation and invasion by acting as a ceRNA of miR?138 and releasing EZH2 in oral squamous cell carcinoma	否		oral squamous cell carcinoma	oral squamous cell carcinoma cell	E_01_0004	RT-qPCR,transfection,Western blot	In addition, H19 was found to regulate the expression of oncogene enhancer of zeste homolog 2 (EZH2) by competing with miR‑138; the inhibition of miR-138 attenuated the inhibitory effects of H19 knockdown on OSCC cells.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			In addition, H19 was found to regulate the expression of oncogene enhancer of zeste homolog 2 (EZH2) by competing with miR‑138; the inhibition of miR-138 attenuated the inhibitory effects of H19 knockdown on OSCC cells.	Immunohistochemical staining	In addition, H19 was found to regulate the expression of oncogene enhancer of zeste homolog 2 (EZH2) by competing with miR‑138; the inhibition of miR-138 attenuated the inhibitory effects of H19 knockdown on OSCC cells.	EZH2		RT-qPCR,transfection,Western blot	In addition, H19 was found to regulate the expression of oncogene enhancer of zeste homolog 2 (EZH2) by competing with miR‑138; the inhibition of miR-138 attenuated the inhibitory effects of H19 knockdown on OSCC cells.			
29344090	chr12	102954386	102956386	ASCL1	As a consequence of the rearrangement ASCL1 was brought into proximity of the IGHJ-Cμ enhancer and was highly overexpressed in the aberrant B-cells of the patient, as shown by qPCR and immunohistochemistry.	human	Bone marrow and lymphatic tissue	High+Lowthroughput	Overexpression of the proneural transcription factor ASCL1 in chronic lymphocytic leukemia with a t(12;14)(q23.2;q32.3)	否		chronic lymphocytic leukemia	chronic lymphocytic leukemia cell	E_01_0005	qPCR,FISH	As a consequence of the rearrangement ASCL1 was brought into proximity of the IGHJ-Cμ enhancer and was highly overexpressed in the aberrant B-cells of the patient, as shown by qPCR and immunohistochemistry.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			As a consequence of the rearrangement ASCL1 was brought into proximity of the IGHJ-Cμ enhancer and was highly overexpressed in the aberrant B-cells of the patient, as shown by qPCR and immunohistochemistry.	Immunohistochemical staining	As a consequence of the rearrangement ASCL1 was brought into proximity of the IGHJ-Cμ enhancer and was highly overexpressed in the aberrant B-cells of the patient, as shown by qPCR and immunohistochemistry.	ASCL1		qPCR,FISH	As a consequence of the rearrangement ASCL1 was brought into proximity of the IGHJ-Cμ enhancer and was highly overexpressed in the aberrant B-cells of the patient, as shown by qPCR and immunohistochemistry.			
29344006	chr6	113930322	113932322	HDAC2	HDAC2 can attenuate lipopolysaccharide-induced inflammation by regulating c-Jun and PAI-1 expression in macrophages.	human	Connective tissue	High+Lowthroughput	Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression	否		Sepsis	macrophage	E_01_0006	ChIP,qRT-PCR,Western blot	HDAC2 can attenuate lipopolysaccharide-induced inflammation by regulating c-Jun and PAI-1 expression in macrophages.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	HDAC2 can attenuate lipopolysaccharide-induced inflammation by regulating c-Jun and PAI-1 expression in macrophages.		HDAC2 can attenuate lipopolysaccharide-induced inflammation by regulating c-Jun and PAI-1 expression in macrophages.	Immunohistochemical staining	HDAC2 can attenuate lipopolysaccharide-induced inflammation by regulating c-Jun and PAI-1 expression in macrophages.			ChIP,qRT-PCR,Western blot				HDAC2
