"Organism","Element ID","Element Description","Promoter","Transgenesis","Stage","Expression","Tissues","Genome Assembly","Element Coordinates"
"Mouse","mm1.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:52079537-52080137"
"Mouse","mm10.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr4:89426411-89429101"
"Mouse","mm100.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr9:67040668-67043521"
"Mouse","mm1000.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:168416030-168418436"
"Mouse","mm1001.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain","mm10","chr13:97891622-97893963"
"Mouse","mm1002.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:80735848-80737703"
"Mouse","mm1003.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Hindbrain, Trigeminal V (ganglion, cranial)","mm10","chr10:120646046-120649455"
"Mouse","mm1004.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:128210736-128212570"
"Mouse","mm1007.0","reference","Hsp68","random","e11.5","negative","","mm10","chr18:83115007-83117713"
"Mouse","mm1009.0","reference","Hsp68","random","e11.5","negative","","mm10","chr16:43546624-43548558"
"Mouse","mm101.0","reference","Hsp68","random","e11.5","positive","Heart, Blood vessels, Liver","mm10","chr11:32245273-32246411"
"Mouse","mm1010.0","reference","Hsp68","random","e11.5","positive","Limb, Neural tube, Dorsal root ganglion","mm10","chr3:51738854-51739856"
"Mouse","mm1015.0","reference","Hsp68","random","e11.5","negative","","mm10","chr5:34326151-34327556"
"Mouse","mm1016.0","reference","Hsp68","random","e11.5","negative","","mm10","chr7:98813655-98816987"
"Mouse","mm1017.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr1:74815064-74818307"
"Mouse","mm1018.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr3:142427888-142431989"
"Mouse","mm1019.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:51169199-51173799"
"Mouse","mm102.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Heart, Other","mm10","chr11:46201358-46203264"
"Mouse","mm1025.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:7054211-7057797"
"Mouse","mm103.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr12:12179100-12179918"
"Mouse","mm1035.0","reference","Hsp68","random","e11.5","negative","","mm10","chr7:46343578-46345787"
"Mouse","mm1036.0","reference","Hsp68","random","e11.5","positive","Limb, Tail","mm10","chr1:75784368-75787445"
"Mouse","mm1038.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:75888309-75891319"
"Mouse","mm104.0","reference","Hsp68","random","e11.5","positive","Heart, Liver, Melanocytes","mm10","chr15:66824304-66827162"
"Mouse","mm104.1","3bp GATA mutation","Hsp68","random","e11.5","allelic","","mm10","chr15:66824304-66827162"
"Mouse","mm1042.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr1:75800898-75805337"
"Mouse","mm1043.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:75666729-75670098"
"Mouse","mm1044.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:75797145-75799864"
"Mouse","mm1045.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Midbrain, Other","mm10","chr1:75660753-75663254"
"Mouse","mm1046.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb","mm10","chr1:75882677-75886487"
"Mouse","mm1047.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr2:133335883-133341047"
"Mouse","mm1048.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr2:133564093-133568696"
"Mouse","mm1049.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr2:133665060-133668429"
"Mouse","mm105.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:67142033-67143633"
"Mouse","mm1050.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb","mm10","chr2:134212579-134217083"
"Mouse","mm1051.0","reference","Hsp68","random","e11.5","negative","","mm10","chr18:54481598-54484940"
"Mouse","mm1052.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Heart","mm10","chr3:79989329-79992698"
"Mouse","mm1053.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:186587515-186590973"
"Mouse","mm1054.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr5:36710975-36715366"
"Mouse","mm1055.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:101711747-101715355"
"Mouse","mm1056.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:39394961-39398384"
"Mouse","mm1058.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:65417248-65420867"
"Mouse","mm106.0","reference","Hsp68","random","e11.5","positive","Heart, Somite","mm10","chr15:77036642-77038764"
"Mouse","mm1061.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Nose, Limb","mm10","chr18:55624020-55627654"
"Mouse","mm1062.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:91615054-91618521"
"Mouse","mm1063.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb","mm10","chr1:92789106-92792922"
"Mouse","mm1064.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr2:169609093-169612595"
"Mouse","mm1065.0","reference","Hsp68","random","e11.5","negative","","mm10","chr18:76709225-76713731"
